지표,구간,점수,비고
기본 점수,전체,50점,모든 도시의 기본 점수
,,,
녹지 공간 비율,3% 미만,-5점,녹지 부족
녹지 공간 비율,3-5%,0점,최소 기준
녹지 공간 비율,5-8%,+3점,적정 수준
녹지 공간 비율,8-12%,+6점,양호
녹지 공간 비율,12% 이상,+10점,우수 (최대)
,,,
저렴한 주거 비율,10% 미만,-5점,부족
저렴한 주거 비율,10-20%,0점,최소 기준
저렴한 주거 비율,20-30%,+3점,적정 수준
저렴한 주거 비율,30-40%,+6점,양호
저렴한 주거 비율,40% 이상,+10점,우수 (최대)
,,,
탄소 배출 지수,80 이상,-5점,매우 높음 (낮을수록 좋음)
탄소 배출 지수,60-80,-2점,높음
탄소 배출 지수,40-60,0점,보통
탄소 배출 지수,25-40,+3점,낮음
탄소 배출 지수,15-25,+6점,매우 낮음
탄소 배출 지수,15 미만,+10점,우수 (최대)
,,,
일자리 수,50개 미만,-5점,부족
일자리 수,50-100개,0점,최소 기준
일자리 수,100-150개,+3점,적정 수준
일자리 수,150-250개,+6점,양호
일자리 수,250개 이상,+10점,우수 (최대)
,,,
오픈 스페이스 비율,5% 미만,-3점,부족
오픈 스페이스 비율,5-10%,0점,최소 기준
오픈 스페이스 비율,10-15%,+3점,적정 수준
오픈 스페이스 비율,15-20%,+6점,양호
오픈 스페이스 비율,20% 이상,+10점,우수 (최대)
,,,
최종 점수 계산,기본 50점 + 각 지표 점수 합계,0-100점,최고 점수: 100점
,,,
점수 해석,80점 이상,매우 살기 좋은 도시,
점수 해석,60-80점,살기 좋은 도시,
점수 해석,40-60점,보통인 도시,
점수 해석,40점 미만,개선이 필요한 도시,
